# file...... models/pvAttack_current_A_ns3.csv
# date...... Mon Oct  5 17:05:06 2015
# user...... devendrashelar7
# host...... (null)
# target.... switch 10
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_A.real,current_in_A.imag
2000-01-01 00:00:00 EST,+7.50004,-3.33349
2000-01-01 00:00:01 EST,+7.50004,-3.33349
2000-01-01 00:00:02 EST,+7.50004,-3.33349
2000-01-01 00:00:03 EST,+7.50004,-3.33349
2000-01-01 00:00:04 EST,+7.50004,-3.33349
2000-01-01 00:00:05 EST,+7.50004,-3.33349
2000-01-01 00:00:06 EST,+7.50004,-3.33349
2000-01-01 00:00:07 EST,+7.50004,-3.33349
2000-01-01 00:00:08 EST,+7.50004,-3.33349
2000-01-01 00:00:09 EST,+7.50004,-3.33349
2000-01-01 00:00:10 EST,+7.50004,-3.33349
2000-01-01 00:00:11 EST,+7.50004,-3.33349
2000-01-01 00:00:12 EST,+7.50004,-3.33349
2000-01-01 00:00:13 EST,+7.50004,-3.33349
2000-01-01 00:00:14 EST,+7.50004,-3.33349
2000-01-01 00:00:15 EST,+7.50004,-3.33349
2000-01-01 00:00:16 EST,+7.50004,-3.33349
2000-01-01 00:00:17 EST,+7.50004,-3.33349
2000-01-01 00:00:18 EST,+7.50004,-3.33349
2000-01-01 00:00:19 EST,+7.50004,-3.33349
2000-01-01 00:00:20 EST,+7.50004,-3.33349
2000-01-01 00:00:21 EST,+7.50004,-3.33349
2000-01-01 00:00:22 EST,+7.50004,-3.33349
2000-01-01 00:00:23 EST,+7.50004,-3.33349
2000-01-01 00:00:24 EST,+7.50004,-3.33349
2000-01-01 00:00:25 EST,+7.50004,-3.33349
2000-01-01 00:00:26 EST,+7.50004,-3.33349
2000-01-01 00:00:27 EST,+7.50004,-3.33349
2000-01-01 00:00:28 EST,+7.50004,-3.33349
2000-01-01 00:00:29 EST,+7.50004,-3.33349
2000-01-01 00:00:30 EST,+7.50004,-3.33349
2000-01-01 00:00:31 EST,+7.50004,-3.33349
2000-01-01 00:00:32 EST,+7.50004,-3.33349
2000-01-01 00:00:33 EST,+7.50004,-3.33349
2000-01-01 00:00:34 EST,+7.50004,-3.33349
2000-01-01 00:00:35 EST,+7.50004,-3.33349
2000-01-01 00:00:36 EST,+7.50004,-3.33349
2000-01-01 00:00:37 EST,+7.50004,-3.33349
2000-01-01 00:00:38 EST,+7.50004,-3.33349
2000-01-01 00:00:39 EST,+7.50004,-3.33349
2000-01-01 00:00:40 EST,+7.50004,-3.33349
2000-01-01 00:00:41 EST,+7.50004,-3.33349
2000-01-01 00:00:42 EST,+7.50004,-3.33349
2000-01-01 00:00:43 EST,+7.50004,-3.33349
2000-01-01 00:00:44 EST,+7.50004,-3.33349
2000-01-01 00:00:45 EST,+7.50004,-3.33349
2000-01-01 00:00:46 EST,+7.50004,-3.33349
2000-01-01 00:00:47 EST,+7.50004,-3.33349
2000-01-01 00:00:48 EST,+7.50004,-3.33349
2000-01-01 00:00:49 EST,+7.50004,-3.33349
2000-01-01 00:00:50 EST,+7.50004,-3.33349
2000-01-01 00:00:51 EST,+7.50004,-3.33349
2000-01-01 00:00:52 EST,+7.50004,-3.33349
2000-01-01 00:00:53 EST,+7.50004,-3.33349
2000-01-01 00:00:54 EST,+7.50004,-3.33349
2000-01-01 00:00:55 EST,+7.50004,-3.33349
2000-01-01 00:00:56 EST,+7.50004,-3.33349
2000-01-01 00:00:57 EST,+7.50004,-3.33349
2000-01-01 00:00:58 EST,+7.50004,-3.33349
